0.83, 25, 6, 6, 6, 6, 93, 93
0.83, 25, 6, 6, 6, 6, 93, 93
0.83, 25, 601, 6, 6, 6, 91, 91
0.83, 25, 601, 6, 507, 6, 89, 89
0.83, 25, 601, 6, 544, 6, 87, 87
0.83, 25, 601, 6, 544, 6, 85, 85
0.83, 25, 601, 6, 544, 6, 83, 83
0.79, 25, 601, 6, 544, 6, 81, 81
0.79, 25, 601, 6, 544, 6, 79, 79
0.79, 25, 601, 6, 544, 6, 77, 77
0.79, 25, 679, 6, 544, 6, 75, 75
0.79, 25, 679, 6, 679, 6, 75, 73
0.79, 25, 679, 6, 679, 6, 75, 71
0.79, 25, 679, 6, 6, 6, 89, 89
0.79, 25, 679, 6, 6, 6, 87, 87
0.79, 25, 679, 6, 6, 6, 85, 85
0.79, 25, 679, 6, 679, 6, 85, 83
0.79, 25, 679, 6, 679, 6, 85, 81
0.79, 25, 679, 6, 679, 6, 85, 79
0.79, 25, 679, 6, 679, 6, 85, 77
0.79, 25, 679, 6, 679, 6, 85, 75
0.79, 25, 679, 6, 679, 6, 85, 73
0.79, 25, 679, 6, 679, 6, 85, 71
0.79, 25, 679, 6, 679, 6, 85, 69
0.79, 25, 679, 6, 679, 6, 85, 67
0.79, 25, 679, 6, 679, 6, 85, 65
0.79, 25, 679, 6, 679, 6, 85, 63
0.79, 25, 649, 6, 679, 6, 87, 61
0.79, 25, 487, 6, 679, 6, 89, 59
0.79, 25, 487, 6, 607, 6, 91, 57
0.79, 25, 487, 6, 607, 6, 93, 55
0.81, 25, 487, 6, 607, 6, 95, 53
0.81, 25, 487, 6, 607, 6, 97, 51
0.81, 25, 487, 6, 607, 6, 99, 49
0.81, 25, 6, 6, 607, 6, 101, 47
0.81, 25, 6, 6, 158, 6, 103, 45
0.81, 25, 6, 6, 158, 6, 105, 43
0.81, 25, 6, 6, 158, 6, 107, 41
0.82, 25, 6, 6, 158, 6, 109, 39
0.83, 25, 6, 6, 158, 6, 111, 37
0.83, 25, 6, 6, 158, 6, 113, 35
0.83, 25, 6, 6, 158, 6, 115, 33
0.83, 25, 6, 6, 158, 6, 117, 31
0.83, 25, 559, 6, 6, 6, 91, 91
0.83, 25, 559, 6, 6, 6, 89, 89
0.83, 25, 559, 507, 6, 6, 87, 87
0.83, 25, 559, 507, 6, 6, 85, 85
0.83, 25, 559, 507, 6, 6, 83, 83
0.79, 25, 559, 507, 6, 6, 81, 81
0.79, 25, 559, 507, 6, 6, 79, 79
0.79, 25, 559, 507, 6, 6, 77, 77
0.79, 20, 559, 507, 6, 6, 75, 75
0.79, 7, 559, 507, 6, 6, 73, 73
0.79, 7, 559, 507, 6, 6, 71, 71
0.77, 7, 559, 507, 6, 6, 69, 69
0.77, 7, 559, 507, 6, 6, 67, 67
0.77, 7, 559, 507, 6, 6, 65, 65
0.77, 7, 559, 507, 6, 6, 63, 63
0.77, 7, 559, 507, 6, 6, 61, 61
0.77, 7, 559, 507, 6, 6, 61, 61
0.83, 25, 0, 0, 0, 0, 93, 93
0.83, 25, 6, 6, 6, 6, 93, 93
0.77, 25, 6, 6, 6, 6, 93, 93
0.77, 25, 6, 6, 6, 6, 93, 93
0.77, 25, 6, 544, 6, 6, 91, 95
0.77, 25, 464, 544, 6, 6, 89, 97
0.77, 25, 559, 544, 6, 6, 87, 97
0.77, 25, 559, 544, 6, 6, 85, 97
0.77, 25, 559, 544, 6, 581, 83, 99
0.77, 25, 559, 544, 6, 679, 81, 101
0.77, 25, 559, 544, 6, 679, 79, 103
0.79, 25, 559, 544, 6, 679, 77, 105
0.79, 25, 559, 544, 6, 679, 75, 107
0.79, 52, 559, 544, 6, 679, 73, 109
0.79, 52, 559, 544, 6, 679, 71, 111
0.79, 52, 559, 544, 6, 679, 69, 113
0.79, 52, 559, 544, 6, 679, 67, 115
0.79, 52, 559, 544, 6, 679, 65, 117
0.83, 52, 559, 544, 6, 679, 63, 119
0.83, 52, 559, 544, 6, 679, 61, 121
0.83, 52, 559, 544, 6, 679, 59, 123
0.83, 52, 559, 6, 6, 679, 61, 125
0.83, 52, 559, 6, 6, 6, 59, 123
0.83, 52, 6, 6, 6, 6, 59, 123
0.83, 52, 6, 6, 6, 6, 59, 123
0.83, 52, 6, 6, 6, 6, 59, 123
